Eénmaal	Eenmaal
allemáál	allemaal
alléén	alleen
behóórlijk	behoorlijk
bestáán	bestaan
bestáát	bestaat
bén	ben
béste	beste
béter	beter
béétje	beetje
béíde	beide
bínnen	binnen
bóven	boven
búíten	buiten
daarná	daarna
daarnáást	daarnaast
daarvóór	daarvoor
dán	dan
dát	dat
dáár	daar
dááraan	daaraan
dáárdoor	daardoor
dáárheen	daarheen
dáárin	daarin
dáármee	daarmee
dáárna	daarna
dáárom	daarom
dáárop	daarop
dáárover	daarover
dáárvoor	daarvoor
dé	de
dénk	denk
dénken	denken
déze	deze
dít	dit
díé	die
dóór	door
dóórgaan	doorgaan
dóórvragen	doorvragen
dús	dus
ervóór	ervoor
gehóórd	gehoord
gelóóf	geloof
gelóóft	gelooft
gewóón	gewoon
gróte	grote
gróót	groot
gáát	gaat
gék	gek
géén	geen
halló	hallo
helemáál	helemaal
hiervóór	hiervoor
hoevéél	hoeveel
háár	haar
héb	heb
hébben	hebben
hélaas	helaas
héle	hele
hélemaal	helemaal
hém	hem
hén	hen
hét	het
hééft	heeft
héél	heel
héérlijk	heerlijk
híér	hier
hóé	hoe
hóéven	hoeven
hóóg	hoog
hóór	hoor
hóórde	hoorde
hóórt	hoort
hún	hun
iederéén	iedereen
inéén	ineen
já	ja
járen	jaren
júíst	juist
kán	kan
kén	ken
ként	kent
kíézen	kiezen
kón	kon
kúnnen	kunnen
lá	la
mág	mag
máánden	maanden
máár	maar
mét	met
mógen	mogen
móést	moest
móét	moet
móéten	moeten
móói	mooi
natúúrlijk	natuurlijk
ná	na
nádat	nadat
náást	naast
nérgens	nergens
nét	net
néé	nee
níémand	niemand
níét	niet
níéts	niets
nóch	noch
nóg	nog
nóóit	nooit
nú	nu
omdát	omdat
persóónlijk	persoonlijk
precíés	precies
succés	succes
sámen	samen
súper	super
twéé	twee
twééde	tweede
twéémaal	tweemaal
té	te
tégen	tegen
tóch	toch
tót	tot
vergéét	vergeet
voorkómen	voorkomen
vréét	vreet
vér	ver
vérgaand	vergaand
vérgaande	vergaande
vérstrekkende	verstrekkende
véél	veel
vólgend	volgend
vólgende	volgende
vóór	voor
vóóraan	vooraan
vóóraf	vooraf
vóórafgaand	voorafgaand
vóóral	vooral
vóórdat	voordat
vóórgaat	voorgaat
vóórkomen	voorkomen
vóórkomende	voorkomende
vóórkomt	voorkomt
vóórstemmers	voorstemmers
vóóruit	vooruit
waarvóór	waarvoor
waaróm	waarom
waaróp	waarop
wás	was
wát	wat
wáár	waar
wáárom	waarom
wég	weg
wél	wel
wélk	welk
wélke	welke
wérkelijk	werkelijk
wéten	weten
wéér	weer
wéét	weet
wíl	wil
wíllen	willen
wíé	wie
wórden	worden
zovéélste	zoveelste
zál	zal
zálig	zalig
zég	zeg
zégt	zegt
zéker	zeker
zélf	zelf
zélfs	zelfs
zéér	zeer
zíén	zien
zíét	ziet
zó	zo
zódanig	zodanig
zómaar	zomaar
zónder	zonder
zóveel	zoveel
zóver	zover
zózeer	zozeer
zúlke	zulke
álle	alle
álles	alles
áls	als
áltijd	altijd
ánder	ander
ándere	andere
ánderen	anderen
ánders	anders
écht	echt
échte	echte
élk	elk
élke	elke
én	en
éne	ene
énig	enig
énige	enige
énkel	enkel
énkele	enkele
énorm	enorm
érg	erg
éven	even
één	een
één tiende	een tiende
één vijfde	een vijfde
éénduidig	eenduidig
éénduidige	eenduidige
éénduidiger	eenduidiger
éénduidigheid	eenduidigheid
éénheid	eenheid
éénheidsworst	eenheidsworst
éénjarig	eenjarig;1-jarig
éénjarige	eenjarige;1-jarige
éénjarigen	eenjarigen;1-jarigen
éénmaal	eenmaal
éénmalig	eenmalig
éénmalige	eenmalige
éénoudergezinnen	eenoudergezinnen
éénrichtingsverkeer	eenrichtingsverkeer
ééns	eens
ééntalig	eentalig
ééntalige	eentalige
ééntje	eentje
éénzijdig	eenzijdig
éénzijdige	eenzijdige
éér	eer
éérder	eerder
éérlijk	eerlijk
éérst	eerst
éérste	eerste
éíndelijk	eindelijk
ík	ik
ín	in
ís	is
íédere	iedere
íédereen	iedereen
íémand	iemand
íéts	iets
ó	o
óf	of
ófwel	ofwel
óh	oh
óm	om
ómdat	omdat
óndanks	ondanks
ónder	onder
ónderdeel	onderdeel
óns	ons
ónze	onze
óp	op
ópen	open
óver	over
óveral	overal
óóit	ooit
óók	ook
ú	u
úren	uren
úw	uw
